id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S1_MB_JP3,S1_self,MBTI,JP,Belirsizlikten hoşlanmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_JP4,S1_self,MBTI,JP,Akışına bırakmak bana iyi gelir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_AT_1,S1_self,Attachment,ANX,Partnerim geç yanıt verdiğinde huzursuz olurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_2,S1_self,Attachment,ANX,İlişkide sık sık güvence ihtiyacı hissederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_3,S1_self,Attachment,AVO,Duygularımı paylaşmakta zorlanırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_4,S1_self,Attachment,AVO,Yakınlıktan sonra bir süre geri çekilirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_5,S1_self,Attachment,SEC,Zor anlarda destek istemekte rahatımdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_AT_6,S1_self,Attachment,SEC,Yakın ilişkilerde sınırları saygıyla korurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_AT_7,S1_self,Attachment,ANX,Terk edilme kaygısı ara sıra aklıma gelir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_8,S1_self,Attachment,AVO,İlişkide bağımsızlık alanımın korunması benim için çok önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_1,S1_self,Conflict,COMPETE,"Anlaşmazlıkta iddialı tavır alırım, geri çekilmem.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_2,S1_self,Conflict,COLLAB,İki tarafın da kazanacağı çözümleri ararım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_3,S1_self,Conflict,COMPROM,Hızlı çözüm için orta yol öneririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_4,S1_self,Conflict,AVOID,Gerilim çıktığında konuyu ertelemeyi seçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_5,S1_self,Conflict,ACCOM,Karşı tarafı kırmamak için kendi isteğimden vazgeçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_6,S1_self,Conflict,COLLAB,Ortak zemini bulmak için aktif soru sorarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_7,S1_self,Conflict,COMPETE,Kendi hedeflerimi savunmada kararlıyımdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_8,S1_self,Conflict,AVOID,Tartışma açmaktansa susmayı seçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_D1,S1_self,DISC,D,Baskı altında hızlı karar veririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_D2,S1_self,DISC,D,"Gerekirse risk alır, sorumluluğu üstlenirim.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_D3,S1_self,DISC,D,Hedeften sapıldığında insanları toparlarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_I1,S1_self,DISC,I,Yeni insanlarla kolayca bağ kurarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_I2,S1_self,DISC,I,İlham verici konuşmalar yapmayı severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_I3,S1_self,DISC,I,Takdir edilmek beni motive eder.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_S1,S1_self,DISC,S,Rutinin ve öngörülebilirliğin verdiği güveni severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_S2,S1_self,DISC,S,Ekip içinde huzuru korumaya çalışırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_S3,S1_self,DISC,S,Ani değişimlere alışmakta zorlanırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_C1,S1_self,DISC,C,Hataları en aza indirmek için standartlara uyarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_C2,S1_self,DISC,C,Karar vermeden önce verileri titizlikle incelerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_DISC_C3,S1_self,DISC,C,Eleştiriyi süreci iyileştirme fırsatı olarak görürüm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SCN_1,S1_self,Scenario,Conflict,Yoğun trafikte biri size haksız yere korna çaldı; tipik ilk tepkiniz?,MultiChoice5,Kızar|Sakin kalır|Panik yapar|Ara verir|Şaka ile yumuşatır,0,"{""Kızar"": ""COMPETE"", ""Sakin kalır"": ""COLLAB"", ""Panik yapar"": ""ANX"", ""Ara verir"": ""AVOID"", ""Şaka ile yumuşatır"": ""ACCOM""}",1.0,
S1_SCN_2,S1_self,Scenario,Conflict,Toplantıda fikriniz sertçe eleştirildi; anlık tutumunuz?,MultiChoice5,Kızar|Sakin kalır|Panik yapar|Ara verir|Şaka ile yumuşatır,0,"{""Kızar"": ""COMPETE"", ""Sakin kalır"": ""COLLAB"", ""Panik yapar"": ""ANX"", ""Ara verir"": ""AVOID"", ""Şaka ile yumuşatır"": ""ACCOM""}",1.0,
S1_SCN_3,S1_self,Scenario,Conflict,Partneriniz randevuya haber vermeden geç kaldı; o anki yaklaşımınız?,MultiChoice5,Kızar|Sakin kalır|Panik yapar|Ara verir|Şaka ile yumuşatır,0,"{""Kızar"": ""COMPETE"", ""Sakin kalır"": ""COLLAB"", ""Panik yapar"": ""ANX"", ""Ara verir"": ""AVOID"", ""Şaka ile yumuşatır"": ""ACCOM""}",1.0,
S1_SCN_4,S1_self,Scenario,Conflict,Yakın arkadaşınız özel bir bilginizi üçüncüyle paylaştı; ilk tepkiniz?,MultiChoice5,Kızar|Sakin kalır|Panik yapar|Ara verir|Şaka ile yumuşatır,0,"{""Kızar"": ""COMPETE"", ""Sakin kalır"": ""COLLAB"", ""Panik yapar"": ""ANX"", ""Ara verir"": ""AVOID"", ""Şaka ile yumuşatır"": ""ACCOM""}",1.0,
S1_SCN_5,S1_self,Scenario,Conflict,Teslim tarihi öne çekildi; ekip geride; sizin tavrınız?,MultiChoice5,Kızar|Sakin kalır|Panik yapar|Ara verir|Şaka ile yumuşatır,0,"{""Kızar"": ""COMPETE"", ""Sakin kalır"": ""COLLAB"", ""Panik yapar"": ""ANX"", ""Ara verir"": ""AVOID"", ""Şaka ile yumuşatır"": ""ACCOM""}",1.0,
S1_SCN_6,S1_self,Scenario,Conflict,Aile toplantısında politik bir tartışma alevlendi; ne yaparsınız?,MultiChoice5,Kızar|Sakin kalır|Panik yapar|Ara verir|Şaka ile yumuşatır,0,"{""Kızar"": ""COMPETE"", ""Sakin kalır"": ""COLLAB"", ""Panik yapar"": ""ANX"", ""Ara verir"": ""AVOID"", ""Şaka ile yumuşatır"": ""ACCOM""}",1.0,
S1_OE_STRENGTHS,S1_self,OpenEnded,OE,Kendinizde en güçlü bulduğunuz 3 özellik nedir?,OpenText,,0,,1.0,
S1_OE_WEAK,S1_self,OpenEnded,OE,Geliştirmek istediğiniz 3 alan nedir?,OpenText,,0,,1.0,
S1_OE_TRIGGER,S1_self,OpenEnded,OE,Çatışma/gerilimde sizi en çok tetikleyen durumlar nelerdir?,OpenText,,0,,1.0,
S1_OE_GOAL,S1_self,OpenEnded,OE,Önümüzdeki 3 ayda kişisel hedefiniz nedir?,OpenText,,0,,1.0,
S1_Q_1,S1_self,Quality,CONS,Bu testte dürüst cevap verdiğime inanıyorum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_2,S1_self,Quality,SPEED,Soruları acele etmeden yanıtladım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_3,S1_self,Quality,ATTN,Talimatları dikkatle okudum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_4,S1_self,Quality,REPEAT,Benzer sorulara farklı cevap verdiğimi düşünüyorum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
