id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S1_C1,S1,BigFive,C,Söz verdiğim işi zamanında bitiririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_C2,S1,BigFive,C,Plan yapmak yerine akışına bırakmayı tercih ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_C3,S1,BigFive,C,Günlük işlerimde düzenli bir sistemim vardır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_C4,S1,BigFive,C,Ayrıntılara dikkat etmek beni sıkar.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_C5,S1,BigFive,C,Hedef koyup adım adım takip ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_N1,S1,BigFive,N,Küçük şeyler yüzünden kolayca gerilirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_N2,S1,BigFive,N,Zorlayıcı durumlarda sakinliğimi korurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_N3,S1,BigFive,N,Endişeli düşünceler aklımı sık sık meşgul eder.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_N4,S1,BigFive,N,Eleştiri aldığımda uzun süre takmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_N5,S1,BigFive,N,Duygularım hızlı iniş çıkışlar yaşar.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_O1,S1,BigFive,O,Yeni fikirleri ve deneyimleri keşfetmekten keyif alırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_O2,S1,BigFive,O,Alıştığım yöntemleri değiştirmekten hoşlanmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_O3,S1,BigFive,O,"Sanat, tasarım veya felsefe gibi konular ilgimi çeker.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_O4,S1,BigFive,O,Sıradışı fikirlere mesafeliyimdir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_O5,S1,BigFive,O,Merakım beni farklı alanlara yönlendirir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_EI1,S1,MBTI,EI,Uzun bir günün ardından enerjimi insanlarla vakit geçirerek toplarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_EI2,S1,MBTI,EI,"Kendi başıma sakin bir akşam, sosyal etkinlikten daha iyi hissettirir.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_EI3,S1,MBTI,EI,Bir konuyu düşünürken yüksek sesle konuşmak bana yardımcı olur.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SN1,S1,MBTI,SN,"Somut gerçekler ve kanıtlar, fikirlerden önce gelmelidir.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SN2,S1,MBTI,SN,"Gelecek olasılıklarını tartışmak, mevcut detaylardan daha heyecan vericidir.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_SN3,S1,MBTI,SN,"Önce mevcut veriyi, sonra olası anlamları incelerim.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_TF1,S1,MBTI,TF,Karar verirken insanların nasıl hissedeceğini dikkate alırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_TF2,S1,MBTI,TF,"Adalet ve tutarlılık, ilişkileri korumaktan önce gelir.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_TF3,S1,MBTI,TF,"‘Doğru hissettiren’ seçeneği, en mantıklı olandan önemli olabilir.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_JP1,S1,MBTI,JP,Net planlar ve takvimler beni güvende hissettirir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_JP2,S1,MBTI,JP,Esneklik ve seçenekleri açık tutmak benim için daha önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_JP3,S1,MBTI,JP,Bitmemiş işleri kapatmadan yeni şeye başlamam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_ANX1,S1,Attachment,ANX,Yakın olduğum kişi geç cevap verdiğinde içim huzursuz olur.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_ANX2,S1,Attachment,ANX,Partnerimin sevgisini kaybetmekten sık sık endişe duyarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_ANX3,S1,Attachment,ANX,İlişkide güvence görmek için sık kontrol ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_ANX4,S1,Attachment,ANX,Ayrı kaldığımızda aklım ilişkide kalır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AVO1,S1,Attachment,AVO,İnsanların bana fazla yaklaşmasından rahatsız olurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AVO2,S1,Attachment,AVO,Duygularımı paylaşmaktansa kendi içimde halletmeyi tercih ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AVO3,S1,Attachment,AVO,İlişkilerde bağımsızlığımı korumak için mesafe bırakırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AVO4,S1,Attachment,AVO,Sorunları konuşmak yerine zamanın çözmesini beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_COM1,S1,Conflict,COMPETE,Hakkımı savunmak için gerektiğinde sert konuşurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_COM2,S1,Conflict,COMPETE,"Kazanmak için risk alırım, gerilime göğüs gererim.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_COL1,S1,Conflict,COLLAB,Anlaşmazlıklarda iki tarafın da kazanacağı çözüm için uğraşırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_COL2,S1,Conflict,COLLAB,Karşı tarafın ihtiyaçlarını da en az kendi ihtiyacım kadar masaya koyarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CRM1,S1,Conflict,COMPROM,Taraflar küçük tavizler vererek orta noktada buluşmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CRM2,S1,Conflict,COMPROM,Hızlı çözüm için ‘yarı yarıya’ formülü uygundur.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AVD1,S1,Conflict,AVOID,Gerilim çıktığında konuşmayı ertelemeyi tercih ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AVD2,S1,Conflict,AVOID,Tartışmalar genelde büyüdüğü için uzak dururum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_ACM1,S1,Conflict,ACCOM,İlişkiyi korumak için kendi beklentilerimi geri plana atabilirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_ACM2,S1,Conflict,ACCOM,Karşı tarafı kırmamak için çoğu zaman onun dediği olur.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD1,S1,Quality,SD,Hayatımda hiç kimseye asla yalan söylemedim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD2,S1,Quality,SD,Her durumda tüm insanlara eşit derecede sabırlıyımdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD3,S1,Quality,ATTN,Bazen soruları hızlıca geçiyorum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
