id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S4_family_11,S4_family,ValuesBoundaries,FINANCE,Hane içi harcamalarda şeffaflık gerekir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_12,S4_family,ValuesBoundaries,BOUND,Misafir/ziyaret planında önceden haber verilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_13,S4_family,ValuesBoundaries,SUPPORT,Krizde ulaşılabilir olmak önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_14,S4_family,ValuesBoundaries,INDEP,Bağımsızlık alanına saygı duyulmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_15,S4_family,ValuesBoundaries,DIGI,Dijital/telefon gizliliği gözetilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_16,S4_family,ValuesBoundaries,PRIV,Aile sırları üçüncü kişilerle paylaşılmamalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_17,S4_family,ValuesBoundaries,CARE,Hassas konular (sağlık vb.) özenle konuşulmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_18,S4_family,ValuesBoundaries,FAIR,Sorumluluklar adil paylaşılmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_19,S4_family,ValuesBoundaries,BOUND,Ses yükseltmek sınır ihlalidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_20,S4_family,ValuesBoundaries,REPAIR,Kırgınlıkta özür ve onarım beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_1,S4_friend,ValuesBoundaries,BOUND,Plan değişikliğinde zamanında haber verilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_2,S4_friend,ValuesBoundaries,TRUST,Sırlar gizli tutulmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_3,S4_friend,ValuesBoundaries,TIME,Düzenli görüşmeye önem veririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_4,S4_friend,ValuesBoundaries,FUN,Ortak aktivite planlamayı severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_5,S4_friend,ValuesBoundaries,RESPECT,İğneleyici şakalardan kaçınılmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_6,S4_friend,ValuesBoundaries,SUPPORT,Zor günde mesaj/arayış beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_7,S4_friend,ValuesBoundaries,BOUND,Özel hayatımın sınırlarına saygı gösterilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_8,S4_friend,ValuesBoundaries,COMM,Sorunları açık ve sakin konuşabilmeliyiz.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_9,S4_friend,ValuesBoundaries,FAIR,Harcama paylaşımında adalet önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_10,S4_friend,ValuesBoundaries,DIGI,Ekran görüntülerimi izinsiz paylaşmak kabul edilemez.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_11,S4_friend,ValuesBoundaries,RELIAB,Verilen sözlerin tutulması gerekir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_12,S4_friend,ValuesBoundaries,CONFLICT,Tartışmayı kaçırmadan çözüme odaklanmalıyız.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_13,S4_friend,ValuesBoundaries,FEED,Geri bildirimi iyi niyetle vermeliyiz.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_14,S4_friend,ValuesBoundaries,PRIOR,Öncelikler çatıştığında açık iletişim beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_15,S4_friend,ValuesBoundaries,BOUND,Rızam olmadan eşyalarım kullanılmamalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_16,S4_friend,ValuesBoundaries,BAL,Karşılıklılık dengesi önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_17,S4_friend,ValuesBoundaries,REPAIR,Kırgınlık sonrası onarım beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_18,S4_friend,ValuesBoundaries,TIME,Son dakika iptalleri minimum olmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_19,S4_friend,ValuesBoundaries,TRUST,Gıyabımda saygılı konuşulmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_friend_20,S4_friend,ValuesBoundaries,SUPPORT,Başarılarımı takdir etmesini beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_1,S4_work,ValuesBoundaries,PRO,Profesyonel sınırlara özen gösterilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_2,S4_work,ValuesBoundaries,COMM,Geri bildirim açık ve saygılı verilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_3,S4_work,ValuesBoundaries,OWN,Sorumluluk üstlenmek ve takip önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_4,S4_work,ValuesBoundaries,ALIGN,Ekip hedefleriyle hizalanma gereklidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_5,S4_work,ValuesBoundaries,TIME,Toplantı ve teslim tarihlerine uyum esastır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_6,S4_work,ValuesBoundaries,TRUST,Bilgi gizliliği korunmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_7,S4_work,ValuesBoundaries,BOUND,Mesai dışı yazışmalara makul sınır getirilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_8,S4_work,ValuesBoundaries,FAIR,İş yükü adil dağıtılmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_9,S4_work,ValuesBoundaries,CONFLICT,Uyuşmazlıklar kişiselleştirilmeden ele alınmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_10,S4_work,ValuesBoundaries,RESPECT,Hiyerarşi olsa da saygı korunmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_11,S4_work,ValuesBoundaries,FEED,Net hedef ve beklenti belirlenmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_12,S4_work,ValuesBoundaries,REPAIR,Hata sonrası onarım/öğrenme beklenir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_13,S4_work,ValuesBoundaries,OWN,Hatalarda sorumluluk almak değerlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_14,S4_work,ValuesBoundaries,BOUND,Kişisel konular iş ortamında sınırında kalmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_15,S4_work,ValuesBoundaries,ALIGN,Kararlar şeffaf iletişilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_16,S4_work,ValuesBoundaries,TRUST,Krediyi hakkaniyetle paylaşmak gerekir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_17,S4_work,ValuesBoundaries,TIME,Fazla mesai beklentisi şeffaf olmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_18,S4_work,ValuesBoundaries,PRO,Toplantıda söz kesmemek önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_19,S4_work,ValuesBoundaries,COMM,E-posta/mesaj tonuna dikkat edilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_work_20,S4_work,ValuesBoundaries,SAFETY,Psikolojik güvenlik korunmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_1,S4_romantic,ValuesBoundaries,BOUND,Özel alan ve kişisel zamana saygı beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_2,S4_romantic,ValuesBoundaries,FINANCE,Maddi konularda şeffaflık isterim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_3,S4_romantic,ValuesBoundaries,COMM,Duyguların düzenli ifade edilmesini isterim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_4,S4_romantic,ValuesBoundaries,DIGI,Sosyal medyada mahremiyete dikkat edilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_5,S4_romantic,ValuesBoundaries,LOYAL,Sadakat kırmızı çizgimdir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_6,S4_romantic,ValuesBoundaries,TRUST,Güven inşası için tutarlı davranış beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_7,S4_romantic,ValuesBoundaries,TIME,Kaliteli birlikte zaman önceliklidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_8,S4_romantic,ValuesBoundaries,SEX,Rıza ve sınırlar açık konuşulmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_9,S4_romantic,ValuesBoundaries,REPAIR,Kırgınlıkta özür ve telafi beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_10,S4_romantic,ValuesBoundaries,BOUND,Kıskançlık kontrolü ve iletişimle yönetilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_11,S4_romantic,ValuesBoundaries,FAIR,Ev/ilişki sorumlulukları adil bölüşülmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_12,S4_romantic,ValuesBoundaries,FAM,Aile/arkadaş etkisi makul sınırda kalmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_13,S4_romantic,ValuesBoundaries,COMM,Tartışmada ses yükseltmek sınır ihlalidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_14,S4_romantic,ValuesBoundaries,PLAN,Gelecek planlarında fikirlerime değer verilmeli.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_15,S4_romantic,ValuesBoundaries,DIGI,Konum/mesaj denetimi talebi kabul edilemez.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_16,S4_romantic,ValuesBoundaries,SUPPORT,Zor günlerde yanında olmasını beklerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_17,S4_romantic,ValuesBoundaries,FUN,Birlikte keyifli rutini sürdürmek isterim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_18,S4_romantic,ValuesBoundaries,BOUND,Flört/iletişim sınırları net olmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_19,S4_romantic,ValuesBoundaries,TRUST,Şeffaflık ve dürüstlük esastır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_romantic_20,S4_romantic,ValuesBoundaries,REPAIR,İlişki sorunlarında profesyonel destek opsiyonu açıktır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
