id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S1_MB_JP2,S1_self,MBTI,JP,Seçenekleri açık tutmayı severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_JP3,S1_self,MBTI,JP,Belirsizlikten hoşlanmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_JP4,S1_self,MBTI,JP,Akışına bırakmak bana iyi gelir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_AT_1,S1_self,Attachment,ANX,Partnerim geç yanıt verdiğinde huzursuz olurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_2,S1_self,Attachment,ANX,İlişkide sık sık güvence ihtiyacı hissederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_3,S1_self,Attachment,AVO,Duygularımı paylaşmakta zorlanırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_4,S1_self,Attachment,AVO,Yakınlıktan sonra bir süre geri çekilirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_5,S1_self,Attachment,SEC,Zor anlarda destek istemekte rahatımdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_AT_6,S1_self,Attachment,SEC,Yakın ilişkilerde sınırları saygıyla korurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_AT_7,S1_self,Attachment,ANX,Terk edilme kaygısı ara sıra aklıma gelir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_AT_8,S1_self,Attachment,AVO,İlişkide bağımsızlık alanımın korunması benim için çok önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_1,S1_self,Conflict,COMPETE,"Anlaşmazlıkta iddialı tavır alırım, geri çekilmem.",Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_2,S1_self,Conflict,COLLAB,İki tarafın da kazanacağı çözümleri ararım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_3,S1_self,Conflict,COMPROM,Hızlı çözüm için orta yol öneririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_4,S1_self,Conflict,AVOID,Gerilim çıktığında konuyu ertelemeyi seçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_5,S1_self,Conflict,ACCOM,Karşı tarafı kırmamak için kendi isteğimden vazgeçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_6,S1_self,Conflict,COLLAB,Ortak zemini bulmak için aktif soru sorarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_7,S1_self,Conflict,COMPETE,Kendi hedeflerimi savunmada kararlıyımdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_CF_8,S1_self,Conflict,AVOID,Tartışma açmaktansa susmayı seçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD_1,S1_self,Validity,SD,Asla kimseyi hayal kırıklığına uğratmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD_2,S1_self,Validity,SD,Her zaman herkese adil davranırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD_3,S1_self,Validity,SD,Hiçbir zaman hata yapmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_SD_4,S1_self,Validity,SD,Kimseyi asla istemeden kırmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_1,S1_self,Quality,CONS,Bu testte dürüst cevap verdiğime inanıyorum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_2,S1_self,Quality,SPEED,Soruları acele etmeden yanıtladım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_3,S1_self,Quality,ATTN,Talimatları dikkatle okudum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_Q_4,S1_self,Quality,REPEAT,Benzer sorulara farklı cevap verdiğimi düşünüyorum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
